name,path,emotion,text
32_happiness_enthusiasm_h_120,happiness_enthusiasm_32/32_happiness_enthusiasm_h_120.wav,happiness,"Конечно, расскажу, обязательно. Ой, сейчас расскажу."
36_disgust_happiness_d_130,disgust_happiness_36/36_disgust_happiness_d_130.wav,disgust,Вы ещё и профессию решили поменять.
34_anger_fear_a_060,anger_fear_34/34_anger_fear_a_060.wav,anger,"Ты знаешь, чем это для тебя закончится?"
25_anger_disgust_a_010,anger_disgust_25/25_anger_disgust_a_010.wav,anger,Добрый день. Вы хотели бы приобрести недвижимость? Я с удовольствием вам помогу.
17_neutral_disgust_d_092,neutral_disgust_17/17_neutral_disgust_d_092.wav,disgust,"все ваши рекламные акции, пожалуйста, больше не парьте мне мозги и слезьте с моих ушей, хорошо?"
27_neutral_fear_f_100,neutral_fear_27/27_neutral_fear_f_100.wav,fear,"Но я же люблю свою работу, я же справляюсь со своими обязанностями. Вы можете её любить дальше. Только не здесь, вы хотите сказать."
48_fear_disgust_d_080,fear_disgust_48/48_fear_disgust_d_080.wav,disgust,Только дети могут такого бояться.
32_happiness_enthusiasm_e_060,happiness_enthusiasm_32/32_happiness_enthusiasm_e_060.wav,enthusiasm,"Ну хорошо, если, например, друзьям, то что, может быть, лотерейные билеты, и может им тоже повезёт?"
27_neutral_fear_n_030,neutral_fear_27/27_neutral_fear_n_030.wav,neutral,"Анна Сергеевна, но мне неудобно вам говорить, вы всё-таки дама, но вы у нас давно и долго работаете."
33_sadness_disgust_s_080,sadness_disgust_33/33_sadness_disgust_s_080.wav,sadness,"Уже одно то, что ты пришла — это уже праздник."
27_neutral_fear_n_080,neutral_fear_27/27_neutral_fear_n_080.wav,neutral,А помимо работы вы чем-нибудь увлекаетесь? У вас может быть есть дача? У вас может быть есть любимые внуки? Может быть вы в хоре поете?
32_happiness_enthusiasm_e_050,happiness_enthusiasm_32/32_happiness_enthusiasm_e_050.wav,enthusiasm,"Так, ну и что ж ты купишь? Платье или сумочку? Может быть, кошелек для этого?"
40_enthusiasm_fear_f_070,enthusiasm_fear_40/40_enthusiasm_fear_f_070.wav,fear,"Учитывается продолжительный бег, на который я просто не способна. Нужно бежать без передышки 5 километров."
26_enthusiasm_happiness_h_080,enthusiasm_happiness_26/26_enthusiasm_happiness_h_080.wav,happiness,Где там тепло?
17_neutral_disgust_n_050,neutral_disgust_17/17_neutral_disgust_n_050.wav,neutral,"Отлично, Алла. Вот уже пять лет вы являетесь клиентом нашей компании."
03_disgust_neutral n_050,03_disgust_neutral/03_disgust_neutral n_050.wav,neutral,финансирования недостаточно вы знаете как сейчас плохо с образованием
47_enthusiasm_sadness_e_100,enthusiasm_sadness_47/47_enthusiasm_sadness_e_100.wav,enthusiasm,"Давайте пройдем, конечно. Вот посмотрите, вот он перед вами висит, всю стену полностью занимает."
20_disgust_enthusiasm_d_110,disgust_enthusiasm_20/20_disgust_enthusiasm_d_110.wav,disgust,"Ух ты, зараза молодая, не знаешь, с кем связалась?"
22_fear_anger_f_050,fear_anger_22/22_fear_anger_f_050.wav,fear,что ты могла сделать? да вот же я запаску забыла! какую запаску?
28_disgust_enthusiasm_d_030,disgust_enthusiasm_28/28_disgust_enthusiasm_d_030.wav,disgust,Ну вот он.
50_enthusiasm_sadness_e_130,enthusiasm_sadness_50/50_enthusiasm_sadness_e_130.wav,enthusiasm,"Ну что, в первый раз тебя что, увольняют? Уже ж, наверное, не первая была такая история."
11_anger_disgust d_200,11_disgust_anger/11_anger_disgust d_200.wav,disgust,"Да после этой попы, извини, твоя просто там не котирует."
35_neutral_fear_f_043,neutral_fear_35/35_neutral_fear_f_043.wav,fear,"Вы, главное, не смейтесь только... Как будто бы стены вокруг меня начинают сжиматься. То есть... Ей!"
39_sadness_anger_a_040,sadness_anger_39/39_sadness_anger_a_040.wav,anger,"Что такого вы нам предлагаете сделать, чтобы он внезапно ожил? Мы вам уже ничем не поможем!"
09_neutral_happiness n_010,09_neutral_happiness/09_neutral_happiness n_010.wav,neutral,"Кирилл Владимирович, добрый день."
03_disgust_neutral n_060,03_disgust_neutral/03_disgust_neutral n_060.wav,neutral,"Разумеется, мы понимаем вашу беспокойность, мы этим и занимаемся, изыскиваем деньги."
45_happiness_sadness_h_100,happiness_sadness_45/45_happiness_sadness_h_100.wav,happiness,или СПИ!!!!
12_sadness_disgust_s_020,sadness_disgust_12/12_sadness_disgust_s_020.wav,sadness,"Я мама Володи из 9-го Б. Вот заглядываю в дневник своему сыну и вижу двойку по-английскому. Скажите, пожалуйста, в чем дело?"
31_fear_enthusiasm_f_060,fear_enthusiasm_31/31_fear_enthusiasm_f_060.wav,fear,"Ну как он выпал, когда вы ездили на мотоцикле? Ты понимаешь, я переживала за тебя. Я очень за тебя переживала. Ты знаешь, что случилось с соседями?"
16_sadness_disgust_s_011,sadness_disgust_16/16_sadness_disgust_s_011.wav,sadness,"Знаешь, я давно хотела с тобой поговорить. Я знаю, что мы это уже обсуждали, но быть может, ты захочешь наконец-то поговорить?"
35_neutral_fear_n_020,neutral_fear_35/35_neutral_fear_n_020.wav,neutral,представьтесь пожалуйста меня зовут валерий психолог
43_enthusiasm_neutral_e_140,enthusiasm_neutral_43/43_enthusiasm_neutral_e_140.wav,enthusiasm,"Хорошо. Ну, а чем ещё у вас... ну, что у вас, в принципе, в сети вы продаёте?"
